Topic_Label;negative;neutral;positive
Emotional Blackmail and Psychological Manipulation;30,35984848;3,402777778;1,237373737
Guilt, Self-Blame, and Emotional Coercion;58,11742424;6,513888889;2,368686869
Healing and Emotional Recovery After Leaving Abuse;69,39393939;7,777777778;2,828282828
Leaving Abusive Partners with Children and Custody Fears;178,6893939;20,02777778;7,282828283
Post-Separation Harassment and Social Invalidation;69,39393939;7,777777778;2,828282828
Recognizing and Interpreting Abuse Dynamics;100,6212121;11,27777778;4,101010101
Trauma Bonding and Early Recovery After Abuse;35,56439394;3,986111111;1,449494949
Trauma Bonding, Self-Blame, and Relationship Violence;144,8598485;16,23611111;5,904040404
