Topic;Count;Topic_Label;Representation;negative;neutral;positive;sadness;disgust;anger;pessimism;fear;anticipation;joy;optimism;surprise;love;trust;sent_neg;sent_neu;sent_pos
1;189;Leaving Abusive Partners with Children and Custody Fears;['physical abuse', 'need advice', 'bruises', 'therapist', 'blamed', 'punished', 'gets mad', 'outbursts', 'protect', 'hard time'];0,925925926;0,063492063;0,010582011;0,689206151;0,673064408;0,641037098;0,273546472;0,367232577;0,050533897;0,094670225;0,0930934;0,025610429;0,015564373;0,012350195;0,735022951;0,218093062;0,046883985
2;169;Trauma Bonding, Self-Blame, and Relationship Violence;['physical abuse', 'abuse just', 'need advice', 'disrespected', 'hes trying', 'feel safe', 'hurtful', 'yells', 'stopped talking', 'cheater'];0,899408284;0,094674556;0,00591716;0,599534859;0,746369146;0,731675034;0,202950983;0,255041552;0,061158451;0,111113833;0,066056349;0,040397849;0,016591225;0,011370854;0,703177559;0,247623571;0,049198861
3;148;Recognizing and Interpreting Abuse Dynamics;['domestic abuse', 'physical abuse', 'relationship ex', 'assaulted', 'ex boyfriend', 'therapist', 'harassment', 'rape', 'physical emotional', 'behaviors'];0,817567568;0,141891892;0,040540541;0,656661168;0,603065672;0,570567645;0,298448161;0,337441699;0,086159647;0,113407511;0,167672645;0,031804813;0,019507322;0,022135057;0,66948785;0,252851566;0,077660584
4;69;Healing and Emotional Recovery After Leaving Abuse;['left abusive', 'physical violence', 'relationship ex', 'grief', 'feel broken', 'trying leave', 'met ex', 'finally left', 'shattered', 'nightmares'];0,608695652;0,173913043;0,217391304;0,689409649;0,327789676;0,280494084;0,285968752;0,26944585;0,070486647;0,318607495;0,270231564;0,029007465;0,094552558;0,05111129;0,517472704;0,248239807;0,234287489
5;49;Post-Separation Harassment and Social Invalidation;['ex boyfriend', 'broke ex', 'dating ex', 'sexual assault', 'harassment', 'stalked', 'rehab', 'tried leave', 'ex years', 'finally left'];0,87755102;0,081632653;0,040816327;0,477844779;0,700862067;0,674003201;0,175460561;0,387662658;0,095898576;0,119094006;0,094945105;0,062451623;0,016054796;0,020690665;0,684438333;0,248989784;0,066571895
6;48;Guilt, Self-Blame, and Emotional Coercion;['assaulted', 'abandonment', 'intimidation', 'coping', 'feel hurt', 'sexual assault', 'humiliation', 'slapping', 'torture', 'feeling guilty'];0,916666667;0,041666667;0,041666667;0,566416198;0,732693678;0,700656407;0,247571289;0,536706342;0,092039004;0,042393525;0,066495051;0,036900186;0,008048061;0,012171638;0,792208851;0,167906165;0,03988498
7;45;Trauma Bonding and Early Recovery After Abuse;['dumped', 'loneliness', 'said ex', 'getting help', 'justified', 'feeling guilty', 'treated way', 'shelter', 'healed', 'started yelling'];0,911111111;0,066666667;0,022222222;0,786137908;0,652112719;0,603632452;0,339635821;0,232829856;0,041965823;0,120486151;0,077351112;0,026087546;0,016627362;0,011919976;0,719541858;0,217965502;0,062492647
8;40;Emotional Blackmail and Psychological Manipulation;['abuse im', 'mum', 'insecure', 'dumped', 'justified', 'disrespectful', 'blames', 'depression', 'threatens', 'close friends'];0,925;0,05;0,025;0,689388047;0,706465467;0,677446715;0,233823242;0,227247843;0,05773552;0,122905431;0,086137839;0,032778898;0,020034822;0,012279465;0,714141437;0,239377727;0,04648084
