Topic_Label;negative;neutral;positive
Emotional Blackmail and Psychological Manipulation;31;3;1
Guilt, Self-Blame, and Emotional Coercion;42;9;16
Healing and Emotional Recovery After Leaving Abuse;70;8;2
Leaving Abusive Partners with Children and Custody Fears;189;15;2
Post-Separation Harassment and Social Invalidation;73;6;1
Recognizing and Interpreting Abuse Dynamics;92;19;5
Trauma Bonding and Early Recovery After Abuse;40;1;0
Trauma Bonding, Self-Blame, and Relationship Violence;150;16;1
