Dataset,N,negative_M,negative_SD,neutral_M,neutral_SD,positive_M,positive_SD
Full corpus including outliers,988,0.6950765445775179,0.22693959294522104,0.23656543605368932,0.14768422947754908,0.06835801813017148,0.13440557884895643
Assigned topic documents only excluding outliers,757,0.6935993497720655,0.23121651860136033,0.23416394018168257,0.1458215397180822,0.07223670880428344,0.1457602775702899
Outliers only,231,0.6999173950871606,0.21272985446971024,0.24443527317537375,0.15369218564236212,0.055647330509813187,0.08645901255182031
